"3.403400000E0,8.545718433E1,-1.021770682E1"
"3.436766667E0,8.359941945E1,0.000000000E0"
"3.470133333E0,7.895500726E1,8.359941945E0"
"3.503500000E0,7.709724238E1,2.322206096E1"
"3.536866667E0,7.431059507E1,2.879535559E1"
"3.570233333E0,7.338171263E1,3.622641509E1"
"3.603600000E0,6.873730044E1,4.272859216E1"
"3.636966667E0,6.223512337E1,5.108853411E1"
"3.670333333E0,5.480406386E1,5.015965167E1"
"3.703700000E0,4.365747460E1,5.573294630E1"
"3.737066667E0,4.644412192E1,6.316400581E1"
"3.770433333E0,4.272859216E1,6.316400581E1"
"3.803800000E0,3.808417997E1,6.595065312E1"
"3.837166667E0,2.972423803E1,6.873730044E1"
"3.870533333E0,2.600870827E1,6.780841800E1"
"3.903900000E0,2.600870827E1,7.802612482E1"
"3.937266667E0,2.043541364E1,7.616835994E1"
"3.970633333E0,1.857764877E1,7.895500726E1"
"4.004000000E0,1.579100145E1,7.895500726E1"
"4.037366667E0,1.300435414E1,7.988388970E1"
"4.070733333E0,9.288824383E0,8.174165457E1"
"4.104100000E0,5.573294630E0,8.174165457E1"
"4.137466667E0,-1.857764877E0,8.545718433E1"
"4.170833333E0,-4.644412192E0,8.174165457E1"
"4.204200000E0,-5.573294630E0,7.709724238E1"
"4.237566667E0,-1.021770682E1,8.267053701E1"
"4.270933333E0,-1.764876633E1,7.988388970E1"
"4.304300000E0,-1.764876633E1,7.895500726E1"
"4.337666667E0,-2.693759071E1,8.545718433E1"
"4.371033333E0,-2.786647315E1,7.988388970E1"
"4.404400000E0,-3.529753266E1,8.081277213E1"
"4.437766667E0,-3.901306241E1,7.988388970E1"
"4.471133333E0,-4.365747460E1,7.523947750E1"
"4.504500000E0,-5.201741655E1,7.431059507E1"
"4.537866667E0,-5.666182874E1,7.338171263E1"
"4.571233333E0,-5.851959361E1,6.780841800E1"
"4.604600000E0,-6.595065312E1,5.944847605E1"
"4.637966667E0,-7.245283019E1,5.387518142E1"
"4.671333333E0,-7.988388970E1,4.737300435E1"
"4.704700000E0,-8.267053701E1,4.087082729E1"
"4.738066667E0,-8.917271408E1,3.065312046E1"
"4.771433333E0,-9.474600871E1,2.229317852E1"
"4.804800000E0,-9.939042090E1,6.502177068E0"
"4.838166667E0,-1.012481858E2,-7.431059507E0"
"4.871533333E0,-1.003193033E2,-2.043541364E1"
"4.904900000E0,-9.846153846E1,-3.343976778E1"
"4.938266667E0,-9.288824383E1,-4.737300435E1"
"4.971633333E0,-8.824383164E1,-6.502177068E1"
"5.005000000E0,-7.709724238E1,-7.245283019E1"
"5.038366667E0,-5.387518142E1,-8.545718433E1"
"5.071733333E0,-4.179970972E1,-9.288824383E1"
"5.105100000E0,-2.322206096E1,-9.846153846E1"
"5.138466667E0,0.000000000E0,-9.195936139E1"
"5.171833333E0,1.021770682E1,-8.638606676E1"
"5.205200000E0,2.415094340E1,-9.381712627E1"
"5.238566667E0,4.272859216E1,-8.359941945E1"
"5.271933333E0,6.037735849E1,-7.895500726E1"
"5.305300000E0,6.966618287E1,-6.780841800E1"
"5.338666667E0,8.174165457E1,-5.759071118E1"
"5.372033333E0,7.988388970E1,-4.179970972E1"
"5.405400000E0,8.731494920E1,-3.622641509E1"
"5.438766667E0,1.021770682E2,-2.229317852E1"
"5.472133333E0,1.031059507E2,-1.114658926E1"
"5.505500000E0,1.068214804E2,9.288824383E-1"
"5.538866667E0,1.040348331E2,1.300435414E1"
"5.572233333E0,1.012481858E2,1.764876633E1"
"5.605600000E0,1.096081277E2,2.972423803E1"
"5.638966667E0,1.068214804E2,3.808417997E1"
