0.00E+00,-7.32E-02,1.07E+00
3.34E-02,-9.09E-02,1.05E+00
6.67E-02,-1.09E-01,1.03E+00
1.00E-01,-1.40E-01,1.07E+00
1.33E-01,-1.60E-01,1.04E+00
1.67E-01,-1.87E-01,1.03E+00
2.00E-01,-2.14E-01,1.06E+00
2.34E-01,-2.21E-01,1.08E+00
2.67E-01,-2.41E-01,1.08E+00
3.00E-01,-2.75E-01,1.06E+00
3.34E-01,-3.15E-01,1.04E+00
3.67E-01,-3.42E-01,1.01E+00
4.00E-01,-3.96E-01,9.82E-01
4.34E-01,-4.30E-01,9.55E-01
4.67E-01,-4.50E-01,9.62E-01
5.01E-01,-5.45E-01,9.89E-01
5.34E-01,-5.72E-01,9.35E-01
5.67E-01,-6.32E-01,9.08E-01
6.01E-01,-7.00E-01,8.81E-01
6.34E-01,-7.67E-01,8.88E-01
6.67E-01,-7.87E-01,7.46E-01
7.01E-01,-9.02E-01,7.59E-01
7.34E-01,-9.36E-01,6.45E-01
7.67E-01,-9.69E-01,5.23E-01
8.01E-01,-1.03E+00,4.29E-01
8.34E-01,-1.03E+00,3.08E-01
8.68E-01,-1.14E+00,1.86E-01
9.01E-01,-1.17E+00,6.50E-02
9.34E-01,-1.19E+00,-3.61E-02
9.68E-01,-1.19E+00,-1.91E-01
1.00E+00,-1.19E+00,-3.80E-01
1.03E+00,-1.15E+00,-5.28E-01
1.07E+00,-1.08E+00,-7.10E-01
1.10E+00,-9.76E-01,-8.79E-01
1.13E+00,-8.55E-01,-1.01E+00
1.17E+00,-6.26E-01,-1.07E+00
1.20E+00,-4.37E-01,-1.17E+00
1.23E+00,-2.48E-01,-1.26E+00
1.27E+00,-1.87E-02,-1.26E+00
1.30E+00,2.04E-01,-1.28E+00
1.33E+00,3.52E-01,-1.23E+00
1.37E+00,5.88E-01,-1.09E+00
1.40E+00,6.76E-01,-9.26E-01
1.43E+00,7.77E-01,-7.58E-01
1.47E+00,8.98E-01,-5.89E-01
1.50E+00,9.39E-01,-4.14E-01
1.53E+00,9.86E-01,-2.18E-01
1.57E+00,9.66E-01,-8.33E-02
1.60E+00,9.52E-01,5.15E-02
1.63E+00,8.98E-01,2.07E-01
1.67E+00,8.44E-01,2.94E-01
1.70E+00,7.97E-01,3.75E-01
1.74E+00,7.90E-01,4.70E-01
1.77E+00,7.23E-01,5.64E-01
1.80E+00,6.69E-01,5.98E-01
1.84E+00,5.88E-01,6.38E-01
1.87E+00,5.14E-01,6.72E-01
1.90E+00,4.60E-01,7.19E-01
1.94E+00,4.19E-01,7.66E-01
1.97E+00,3.59E-01,7.80E-01
2.00E+00,3.12E-01,8.07E-01
2.04E+00,2.51E-01,8.54E-01
2.07E+00,2.37E-01,8.74E-01
2.10E+00,1.90E-01,8.88E-01
